screen_name,text,name,listed_count
jaybee230,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Jessica™,11
LaffsAtTheFash,RT @BlackFeminisms: Nigerian bobsled team to make Winter Olympic history in PyeongChang https://t.co/ihOwOEgMY6,Spartacus,6
Social_Media_c4,"20 years later, a look back at the thrills and spills of the 1998 Winter Olympics - We're just days — hours, even!… https://t.co/9qSDdqFvD7",Social Media Hub,197
xtcollegebb,#collegehoops #ncaa 2018 Winter Olympics: IOC rejects request for 15 reinstated Russian athletes - Among the 15 Rus… https://t.co/r6Kvj3uQmu,College Basketball,45
jeonschu,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",melissa,39
IndiaTodayNews1,Winter Olympics 2018: Linguistic barriers for joint Korea’s ice hockey team  #cricket https://t.co/wANUhwOFgs,IndiaTodayNews,71
thedailyjournal,Vineland native to compete for Jamaica in Winter Olympics https://t.co/O14tX3T6zb https://t.co/7Q2GeaMjT4,thedailyjournal.com,299
SPORTTAPE,RT @GBParkandPipe: The @gbparkandpipe snowboard crew has made it out to South Korea 🇰🇷 for the 2018 Winter Olympics. Action starts this wee…,SPORTTAPE,115
LeighMathys,RT @BlackFeminisms: Nigerian bobsled team to make Winter Olympic history in PyeongChang https://t.co/ihOwOEgMY6,IG: LeighMathys,49
netsumonnanka,Nathan Chen 2018 Winter Olympics profile | Figure skating https://t.co/gZHNS1K04n,Amy Garrett,1
Revolvermag,"See snowboarder Shaun White shred to Black Sabbath's ""Iron Man"" in new commercial for Winter Olympics… https://t.co/F56rYz2WzG",Revolver Magazine,2315
angelilycy,"RT @chimfansite: A collab between Coca-Cola and @BTS_twt for the upcoming PyeongChang Olympics?

""Are you ready to enjoy PyeongChang 2018 W…",Jelly 🍒,0
MissMatson58,Gearing up for the Winter Olympics this week! Students are experiencing what the different venues look like with… https://t.co/mp3JcBuoix,Miss Matson,4
PBS,Ready for the 2018 Winter Olympics? Take @NewsHour's Olympic quiz to test your knowledge about the Winter Games! https://t.co/6ovgqGCOrw,PBS,18057
zaretaf4w9its,Nathan Chen elevates U.S. hopes for figure skating gold at Winter Olympics https://t.co/gZXhxAIWjr,james,2
angstaekwoon,"RT @crystalcyphers: [notice!]
we have four more days until the pyeongchang winter olympics! bangtan will start being really active most lik…",juℓiana loves hoseok,12
ayurastianii_,"RT @ARMYIndonesiaa: Untuk Pyeongchang Winter Olympics 2018
Coca-Cola mengeluarkam advertisement video..
dan tulisan untuk BTS : 대한민국 비주얼 아티…",#TeamCypher ☮,0
KPMcFarland,cross-country skiers are existential heroes. https://t.co/Ucep29uram https://t.co/I9layBDDa7,KP McFarland,56
Kolie_Yola,"RT @okayafrica: ""They were really shocked that a black girl can ski like this."" https://t.co/2gvTF9SFkI",Kolie Yola Sinyanya,110
ziavelasquez,RT @baobobaek: EXO will be the one to represent South Korea to the world. EXO represents South Korea for 2018 Pyeongchang Winter Olympics.…,min,0
damkup,"RT @okayafrica: ""They were really shocked that a black girl can ski like this."" https://t.co/2gvTF9SFkI",Damien,79
ManvirMundra,"RT @NFLRT: After winning Super Bowl MVP, Nick Foles has turned his attention towards the Winter Olympics https://t.co/PuMeceQnpH",Manvir Mundra 🖇,0
usakofs,"RT @YukiNieve: ネイサンがスケートを始めて靴が買えずにいた頃、自分の出す奨学金の対象には幼すぎるのでマイクは200ドルを渡した。その後ネイサンがスケートを続けられるよう、10年にわたり計75,000ドル(今のレートで825万円位）ほど、マイクは基金を通してネイサン…",うさこ,0
JenniferDykes12,RT @amandacdykes: The Slalom event at Dash Winter Olympics at @hillviewreads! @WonderWorkshop. #JEFCOED #redefiningready #morethanascore ht…,Amosland Library & Collaboratory,0
The_Lyon_Kingg,The Winter Olympics bouta start so imma need y'all to not sleep on curling this time. My heart be racing forreal https://t.co/XT5tZlA0rS,Stephen,5
quadlutzes,RT @keijitanakas: Winter Olympics https://t.co/f3LyI0w5xm,megan 🍍🌸✨,19
17mamabts4,"RT @crystalcyphers: [notice!]
we have four more days until the pyeongchang winter olympics! bangtan will start being really active most lik…",mamabts 4,0
1StevieKilner,@itsshsuth Love the Winter Olympics ❤,Steve Kilner,68
FuWoolBonBon,RT @willripleyCNN: North Korea's 'ceremonial head of state' Kim Yong Nam will attend the opening ceremony of the Winter Olympics in Pyeongc…,fuku,6
Fredagsvik,"RT @ammattipyoraily: Despite the Winter Olympics, there'll be live broadcasts from Vuelta a Andalucia and Volta ao Algrave on Eurosport2. B…",Jarle Fredagsvik,50
ecasey77,"RT @playfanschool: Get ready! 

https://t.co/JwFEsijjPH predictions are due by the end of the Opening Ceremony on Friday!

https://t.co/5B3…",Ed Casey,176
whoyougotSNOW,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Snows,0
MSHS_SO,RT @Maine_South: Good luck to our Special Olympics Winter Athletes!! #207Now https://t.co/f16pqDUBvk,MSHS_SpecialOlympics,0
TannerConrad,"RT @NFLRT: After winning Super Bowl MVP, Nick Foles has turned his attention towards the Winter Olympics https://t.co/PuMeceQnpH",Tanner Conrad,6
larughh,"issue: ice crying

-summer olympics: no
-winter olympics: yes, plenty",Lard,0
17mamabts4,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",mamabts 4,0
lacer2k,New on Sports Illustrated: When Is The Winter Olympics Opening Ceremony? selected by Livio Acerbo Bot https://t.co/pS3jD6FQ8Y,Livio Andrea Acerbo,16
greengroundit,New on Sports Illustrated: When Is The Winter Olympics Opening Ceremony? selected by Livio Acerbo Bot https://t.co/5Mfqf2PaAV,GREENGROUND IT,2
night_in_gail,RT @samantha1ynn: three days! ✈️ fun little preview article about @_ElizabethWyman and I &gt;&gt; https://t.co/JseaPWrgYE,Abigail Geary,6
Lisa45000,"RT @NBCDFW: Four Texans will join the Team USA at the Winter Olympics Games in Pyeongchang, South Korea. #WinterOlympics https://t.co/b5vmL…",Lisa Hoefgen,6
HaraldDoornbos,"10 years after #Sarajevo Winter Olympics 1984. 

War.

These stamps by BH pošta Sarajevo, Republika Bosna i Hercego… https://t.co/m5b3Mwlt9c",Harald Doornbos,1828
succulentjoon,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",amanda 🐼,0
callllvin,"RT @NFLRT: After winning Super Bowl MVP, Nick Foles has turned his attention towards the Winter Olympics https://t.co/PuMeceQnpH",ℭ𝔞𝔩,4
KestlerBrittney,RT @Maine_South: Good luck to our Special Olympics Winter Athletes!! #207Now https://t.co/f16pqDUBvk,Brittney Kestler,1
dankmaths,RT @SoraKingdomKey3: I legitimately didn't know the Winter Olympics were happening this month because there's no new Mario &amp; Sonic At The O…,sen-pi @ commissions open!,14
SafetyCutie,Winter Olympics Security Includes Drones That Catch Drones https://t.co/ZXbHKubp3q,Farnaz Tahir Barry,10
AlexiPappas,"RT @NYTStyles: Four Olympic athletes, including @alexipappas, will be attending the Winter Games in Pyeongchang as artists. https://t.co/IJ…",Alexi Pappas,292
felice69gallico,"RT @PahlaviLondon: Five Whimsical Words of the Winter Olympics, from 'Skeleton' to 'Salchow' https://t.co/Ij1trLGYer https://t.co/Z0R3fYK5ia",felice pansera,8
tatin__r,RT @diodio0013tw: Winter Olympics on NBC-TV Figure Skating SB Promo on Thursday Night https://t.co/3qPTJ6nnNQ via @YouTube,くろねこ,26
NCiancibello,Winter beer Olympics...👀👀,Nick Ciancibello,0
africaupdates,"RT @okayafrica: ""They were really shocked that a black girl can ski like this."" https://t.co/2gvTF9SFkI",Africa Updates,547
FOX23,2018 Winter Olympics: Who is John Henry Krueger? https://t.co/4IKRWr8IKy,FOX23,768
ansera01,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",Ansera anselmo,0
ZDohn,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Zander Dohn,0
OrichalcumRoad,RT @theblaze: Otto Warmbier’s father to join VP Pence at opening ceremonies for Winter Olympics in South Korea https://t.co/DEAf9PtMt7,I am my own Ghost,34
AfricaPulse,"Nigeria:We Want to Be Among Top 10 At Pyeongchang 2018 Winter Olympics, Says Omeoga - https://t.co/lpqzL3WeA6 #Africa #news",AfricaPulse,181
1_newsnet,When Is The Winter Olympics Opening Ceremony? - https://t.co/jdDAdBDyaw https://t.co/ExJVw7CHOy,1 News Net,56
jeffisageek,RT @TechHive: How to watch the Winter Olympics without cable. https://t.co/62h3Vsq8rY https://t.co/s5YA1ghFjB,(jeff)isageek,728
PaulusIoannes23,RT @CNN: The International Olympic Committee has refused a request for 15 Russian athletes and coaches to attend the #PyeongChang2018 Winte…,PJ Hernandez,0
ammattipyoraily,"Despite the Winter Olympics, there'll be live broadcasts from Vuelta a Andalucia and Volta ao Algrave on Eurosport2… https://t.co/xzJHfqvAhj",ammattipyöräily,531
zdubbZ5,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Zachariah Walker,0
azwildcatsfan,2018 Winter Olympics: IOC rejects request for 15 reinstated Russian athletes https://t.co/lGH0SufqFY via @CBSSports,azwildcatsfan,22
SCSD_HSW,"RT @WestAHA2014: Athletes Helping Athletes participating with Best Buddies club today. Winter Olympics day! Torch relay, curling &amp; luge 🏅@S…",Smithtown West,9
taeksart,RT @kongniverse: vixx are so heavily involved in the winter olympics starting from 90 like being torch bearers and now performing at ioc ce…,ㅇㅅㅇ✨,7
NelsonCarterJr,"RT @NYTStyles: Four Olympic athletes, including @alexipappas, will be attending the Winter Games in Pyeongchang as artists. https://t.co/IJ…",MR.CARTER,281
swidrowwe,RT @theblaze: Otto Warmbier’s father to join VP Pence at opening ceremonies for Winter Olympics in South Korea https://t.co/DEAf9PtMt7,Stuart Widro,0
ranran_skate,RT @diodio0013tw: Winter Olympics on NBC-TV Figure Skating SB Promo on Thursday Night https://t.co/3qPTJ6nnNQ via @YouTube,まぐ🇫🇮🇨🇦⭐️,8
igotyourhomebev,"RT @c21select: Are you ready for the 2018 Winter Olympics in PyeongChang? The Winter Games are set to begin this Friday, Feb.... https://t.…",Beverly Tillman,0
KimSengupta07,Don’t be fooled by North Korea’s Winter Olympics charm offensive https://t.co/rfJTNTEiMg,Kim Sengupta,233
ddamato88,RT @SF9Singapore: [PIC] 180203 Coca-Cola Facebook update - #SF9 #Rowoon at Pyeongchang Winter Olympics Opening Ceremony of Giant-Sized Coca…,Darcy D'Amato,53
DouglasDammann,RT @WS_Newz: Best Original Song nominee ‘This Is Me’ could get an Olympic boost en route to Oscar gold https://t.co/5j9QdIPDjl https://t.co…,Douglas Dammann,550
TRUSTLINKCOIN,"RT @CGTNOfficial: South Korea bans 36,000 foreigners from entering for Winter Olympics. Follow us for more.",Kaddour brahim amine,0
anoopkular,RT @mashable: A look back at the thrills and spills of the 1998 Winter Olympics https://t.co/KUJmDMA9rq https://t.co/4yyB9vUq5h,Anoop Kular,317
1037ChuckFM,2018 Winter Olympics: Who is John Henry Krueger? https://t.co/iIXrczzeBV,Chuck FM,13
AndyJRyanPhoto,Good morning from the Winter Olympics.... Would recommend some warm socks today! https://t.co/VJosRU1LWE,Andy J Ryan,49
MediaevalProg,"@amandabiathlon1 @biathlonworld  The BBC ask a question 
https://t.co/IbIqMeNrFk
My answer is no as its only Biathl… https://t.co/chQmYp6JJd",David Unsworth,0
SoyCelestehhh,Rly stoked I have cable now so I can watch the Winter Olympics.,Celeste,0
soompi,#Taecyeon To Join #2PM For Performance As Full Group At Pyeongchang Winter Olympics https://t.co/v3MQ7mYO1K https://t.co/ipQDNZFMXu,Soompi | #SoompiAwards,5451
joshrogin,"Breaking: Vice President Pence will bring Fred Warmbier, father of Otto Warmbier, as his personal guest to the Wint… https://t.co/PbqFE01Ug4",Josh Rogin,3440
SBNation,"🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters… https://t.co/Aj18dTKlZR",SB Nation,5244
theamandabatty,"The olympics are coming this week, I guess, and instead of cheering on all of the (white) golden children, I'm gonn… https://t.co/sWXqT8NQFa",Amanda Batty,123
larughh,"issue: ice crying

-summer olympics: none
-winter olympics: yes, plenty",Lard,0
KudzaiPfuwai,RT @nytimes: The Winter Olympics are coming. NBC emphasized this on Super Bowl Sunday. https://t.co/FQOouCcOWW,Kudzaishe Pfuwai,3
Netweather,.@PyeongChang2018  - Chill for Winter Olympics Opening ceremony in South Korea https://t.co/ySZzAXxy8q #Netwx,Netweather.tv,268
VictoriaBanvil2,"RT @Cat_Kapow: Sign this PETITION More than 465,000 people have signed this #Petition against the barbaric #DogCatMeatTrade in #SouthKorea…",Victoria Banville,11
ColinCa57082954,"Britain's toughest sportsman?
 https://t.co/HRLtR9hMSA via @bbcsport",Colin Campbell,1
gazettevisuals,RT @rebeccafmiller: Last week I got to photograph figure skater Timothy LeDuc for a story about his Olympic aspirations and the message he…,Gazette Visuals,19
telegraphprem,Britain let John Curry’s golden legacy at the Winter Olympics go to waste https://t.co/xn843w8naD,Telegraph Premium,57
bunnypink10127,"RT @joshrogin: Breaking: Vice President Pence will bring Fred Warmbier, father of Otto Warmbier, as his personal guest to the Winter Olympi…",🌱🌸Deplorable bunny🌱🌸,0
arachmadiva,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",diva,0
Weissroy0,Winter Olympics are this week,Jay P - Usually Hungry around 2 am,5
StephaniePNews,RT @nbc25fox66: In just three days the #Olympics begin in Pyeongchang. A lot of the snow there is courtesy of machines made in mid-Michigan…,Stephanie Parkinson,51
_SeanTyler_,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",st.,11
Rom_TAlan,We would be hard pressed to find anyone who has come out who doesn't say this. It makes us a new person. Essential… https://t.co/0iMERjazDS,Thomas,102
IA21679875,"RT @ARMYIndonesiaa: Untuk Pyeongchang Winter Olympics 2018
Coca-Cola mengeluarkam advertisement video..
dan tulisan untuk BTS : 대한민국 비주얼 아티…",IA,0
pamdon18,"RT @Koreandogs: .@AdelineBaud Dear Adeline, please see this: https://t.co/WRqux9XIpJ  Thank you.",Pamela Doney,0
Delta7900,RT @TIME: The complete schedule for the 2018 Winter Olympics - including when to watch every sport https://t.co/0Z92B6Nk0N,Delta7900,9
MSNSports,"US Olympic sliders: Red, white, blue ... and a green beret https://t.co/jKC4YfamO1",MSN Sports,113
jamesagberebi,"RT @CompleteSports: Winter Olympics-Bound Bobsled Team Speak On Nigerian Jollof, Fashion, Celebrity Status And Medal Hopes In Korea https:/…",james agberebi,1
pamdon18,"RT @Koreandogs: .@AdriTheaux  Dear Adrien, please see this: https://t.co/WRqux9XIpJ  Thank you.",Pamela Doney,0
pamdon18,"RT @Koreandogs: &gt;@akselsvindal Dear Aksel, please see this: https://t.co/WRqux9XIpJ Thank you!!",Pamela Doney,0
rebeccafmiller,Last week I got to photograph figure skater Timothy LeDuc for a story about his Olympic aspirations and the message… https://t.co/zn9gE981Om,Rebecca F. Miller,19
galaxyjimin27,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",Legi | Vote iHeartRadio!,6
BishopIkedi1,The Fantastic Four! Nigeria’s Bobsled &amp; Skeleton reps in South Korea for the Winter Olympics https://t.co/hfWvcfVF3R https://t.co/TVx2mZvuw1,Bishop Ikedi,57
RoDCelaya,RT @nzaccardi: The Winter Olympics start this week! Here's a daily guide of key events in PyeongChang. https://t.co/Q9IjCW1KUN,Rod Celaya,6
AllOnFire,"From the award-winning Snowman Paul book series
Just in time for the Winter Olympics! 
For Early Readers
Ages 4-7… https://t.co/DnRuMTGl7A",All On Fire Books,474
pamdon18,"RT @Koreandogs: Boycott PyeongChang 2018 Winter Olympics in South Korea, A Dog Eating Nation! - Sign the Petition! https://t.co/LUQB5kB61m…",Pamela Doney,0
phillippetrulak,"RT @NFLRT: After winning Super Bowl MVP, Nick Foles has turned his attention towards the Winter Olympics https://t.co/PuMeceQnpH",Phillip Petrulak,4
pamdon18,RT @Koreandogs: [URGENT] Ask the PyeongChang 2018 Athletes to speak out against cruelty! https://t.co/Vl6h6zdrkJ via @Change,Pamela Doney,0
corbangw14,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Corban,4
BrookingsK,RT @theblaze: Otto Warmbier’s father to join VP Pence at opening ceremonies for Winter Olympics in South Korea https://t.co/DEAf9PtMt7,BrookingsK,1
nbc25fox66,In just three days the #Olympics begin in Pyeongchang. A lot of the snow there is courtesy of machines made in mid-… https://t.co/LpEWHqhLQo,NBC25 / FOX66 News,329
powklan7,"RT @newsmax: Vice President Pence will focus on putting pressure on North Korea, with the father of Otto Warmbier at his side. 
https://t.c…",Darlene Powell,0
BIANHTH,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",ⓣⓗⓤ・ⓑⓤⓘ,6
ABabino,Winter Olympics Attack Expands with Top-Tier Spyware https://t.co/WBOnG4GjPY,Adriana Babino,22
EmetMihajlo,RT @HaraldDoornbos: Nice. Afghan stamp from 1984 commemorating Sarajevo Winter Olympics. https://t.co/1pEASbKMqh,Emet Mihajlo,0
rlstudentcounci,This Friday is Team Canada day as the 2018 Winter Olympics begin! Show your Olympic spirit by sporting Canada gear… https://t.co/qorH4V9QIB,RL StudentCouncil,0
iPRESIDIUM,Winter Olympics Attack Expands with Top-Tier Spyware https://t.co/zWPkSyjGLk,iPRESIDIUM,34
steadlight,"RT @NYTStyles: Four Olympic athletes, including @alexipappas, will be attending the Winter Games in Pyeongchang as artists. https://t.co/IJ…",Stephen Attong,14
ksbw,20 of the hottest athletes competing in the Winter Olympics https://t.co/sqTy6KLbUv https://t.co/8ILAD0C0u0,KSBW Action News 8,539
myfitlifegear,The Workout That Saves Lindsey Vonn From Wipeouts  https://t.co/19eL4QYG1V #myfitlifegear #lindseyvonn #olympics #skiing #workout,MyFitLifeGear,1
Sokkaa_RSS,"Winter Olympics-Bound Bobsled Team Speak On Nigerian Jollof, Fashion, Celebrity Status And Medal Hopes In Korea… https://t.co/IpwXBg9hip",Sokkaa_RSS,30
taeswfts,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",annie • ASD📌,41
jaybee230,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Jessica™,11
LaffsAtTheFash,RT @BlackFeminisms: Nigerian bobsled team to make Winter Olympic history in PyeongChang https://t.co/ihOwOEgMY6,Spartacus,6
Social_Media_c4,"20 years later, a look back at the thrills and spills of the 1998 Winter Olympics - We're just days — hours, even!… https://t.co/9qSDdqFvD7",Social Media Hub,197
xtcollegebb,#collegehoops #ncaa 2018 Winter Olympics: IOC rejects request for 15 reinstated Russian athletes - Among the 15 Rus… https://t.co/r6Kvj3uQmu,College Basketball,45
jeonschu,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",melissa,39
IndiaTodayNews1,Winter Olympics 2018: Linguistic barriers for joint Korea’s ice hockey team  #cricket https://t.co/wANUhwOFgs,IndiaTodayNews,71
thedailyjournal,Vineland native to compete for Jamaica in Winter Olympics https://t.co/O14tX3T6zb https://t.co/7Q2GeaMjT4,thedailyjournal.com,299
SPORTTAPE,RT @GBParkandPipe: The @gbparkandpipe snowboard crew has made it out to South Korea 🇰🇷 for the 2018 Winter Olympics. Action starts this wee…,SPORTTAPE,115
LeighMathys,RT @BlackFeminisms: Nigerian bobsled team to make Winter Olympic history in PyeongChang https://t.co/ihOwOEgMY6,IG: LeighMathys,49
netsumonnanka,Nathan Chen 2018 Winter Olympics profile | Figure skating https://t.co/gZHNS1K04n,Amy Garrett,1
Revolvermag,"See snowboarder Shaun White shred to Black Sabbath's ""Iron Man"" in new commercial for Winter Olympics… https://t.co/F56rYz2WzG",Revolver Magazine,2315
angelilycy,"RT @chimfansite: A collab between Coca-Cola and @BTS_twt for the upcoming PyeongChang Olympics?

""Are you ready to enjoy PyeongChang 2018 W…",Jelly 🍒,0
MissMatson58,Gearing up for the Winter Olympics this week! Students are experiencing what the different venues look like with… https://t.co/mp3JcBuoix,Miss Matson,4
PBS,Ready for the 2018 Winter Olympics? Take @NewsHour's Olympic quiz to test your knowledge about the Winter Games! https://t.co/6ovgqGCOrw,PBS,18058
zaretaf4w9its,Nathan Chen elevates U.S. hopes for figure skating gold at Winter Olympics https://t.co/gZXhxAIWjr,james,2
angstaekwoon,"RT @crystalcyphers: [notice!]
we have four more days until the pyeongchang winter olympics! bangtan will start being really active most lik…",juℓiana loves hoseok,12
ayurastianii_,"RT @ARMYIndonesiaa: Untuk Pyeongchang Winter Olympics 2018
Coca-Cola mengeluarkam advertisement video..
dan tulisan untuk BTS : 대한민국 비주얼 아티…",#TeamCypher ☮,0
KPMcFarland,cross-country skiers are existential heroes. https://t.co/Ucep29uram https://t.co/I9layBDDa7,KP McFarland,56
Kolie_Yola,"RT @okayafrica: ""They were really shocked that a black girl can ski like this."" https://t.co/2gvTF9SFkI",Kolie Yola Sinyanya,110
ziavelasquez,RT @baobobaek: EXO will be the one to represent South Korea to the world. EXO represents South Korea for 2018 Pyeongchang Winter Olympics.…,min,0
damkup,"RT @okayafrica: ""They were really shocked that a black girl can ski like this."" https://t.co/2gvTF9SFkI",Damien,79
ManvirMundra,"RT @NFLRT: After winning Super Bowl MVP, Nick Foles has turned his attention towards the Winter Olympics https://t.co/PuMeceQnpH",Manvir Mundra 🖇,0
usakofs,"RT @YukiNieve: ネイサンがスケートを始めて靴が買えずにいた頃、自分の出す奨学金の対象には幼すぎるのでマイクは200ドルを渡した。その後ネイサンがスケートを続けられるよう、10年にわたり計75,000ドル(今のレートで825万円位）ほど、マイクは基金を通してネイサン…",うさこ,0
JenniferDykes12,RT @amandacdykes: The Slalom event at Dash Winter Olympics at @hillviewreads! @WonderWorkshop. #JEFCOED #redefiningready #morethanascore ht…,Amosland Library & Collaboratory,0
The_Lyon_Kingg,The Winter Olympics bouta start so imma need y'all to not sleep on curling this time. My heart be racing forreal https://t.co/XT5tZlA0rS,Stephen,5
quadlutzes,RT @keijitanakas: Winter Olympics https://t.co/f3LyI0w5xm,megan 🍍🌸✨,19
17mamabts4,"RT @crystalcyphers: [notice!]
we have four more days until the pyeongchang winter olympics! bangtan will start being really active most lik…",mamabts 4,0
1StevieKilner,@itsshsuth Love the Winter Olympics ❤,Steve Kilner,68
